Instance,StratType,Token1,Token2,Token3,Token4,SingleOrderLot,MaxPositionLot,TokenWiseSpread,Reserved1,Reserved2,Reserved3,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,PortName
1,9,39111,51541,51540,39113,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26000 (LC)
1,10,39111,51541,51540,39113,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26000 (SC)
1,9,39111,51548,51547,39113,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26100 (LC)
1,10,39111,51548,51547,39113,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26100 (SC)
1,9,39111,51566,51562,39113,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26200 (LC)
1,10,39111,51566,51562,39113,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26200 (SC)
1,9,39111,51568,51567,39113,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26300 (LC)
1,10,39111,51568,51567,39113,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26300 (SC)
1,9,39111,51570,51569,39113,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26400 (LC)
1,10,39111,51570,51569,39113,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26400 (SC)
1,9,39111,51572,51571,39113,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26500 (LC)
1,10,39111,51572,51571,39113,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26500 (SC)
1,9,39111,51581,51573,39113,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26600 (LC)
1,10,39111,51581,51573,39113,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26600 (SC)
1,9,39111,51587,51586,39113,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26700 (LC)
1,10,39111,51587,51586,39113,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26700 (SC)
1,9,39111,51679,51646,39113,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26800 (LC)
1,10,39111,51679,51646,39113,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26800 (SC)
1,9,39111,51685,51684,39113,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26900 (LC)
1,10,39111,51685,51684,39113,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26900 (SC)
1,9,46128,51541,51540,46129,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26000 (LC)
1,10,46128,51541,51540,46129,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26000 (SC)
1,9,46128,51548,51547,46129,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26100 (LC)
1,10,46128,51548,51547,46129,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26100 (SC)
1,9,46128,51566,51562,46129,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26200 (LC)
1,10,46128,51566,51562,46129,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26200 (SC)
1,9,46128,51568,51567,46129,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26300 (LC)
1,10,46128,51568,51567,46129,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26300 (SC)
1,9,46128,51570,51569,46129,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26400 (LC)
1,10,46128,51570,51569,46129,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26400 (SC)
1,9,46128,51572,51571,46129,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26500 (LC)
1,10,46128,51572,51571,46129,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26500 (SC)
1,9,46128,51581,51573,46129,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26600 (LC)
1,10,46128,51581,51573,46129,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26600 (SC)
1,9,46128,51587,51586,46129,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26700 (LC)
1,10,46128,51587,51586,46129,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26700 (SC)
1,9,46128,51679,51646,46129,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26800 (LC)
1,10,46128,51679,51646,46129,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26800 (SC)
1,9,46128,51685,51684,46129,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26900 (LC)
1,10,46128,51685,51684,46129,2,50000,1,0,0,0,0,0,0,0,0,BANKNIFTY18APR-26900 (SC)
